,precision,recall,f1-score,support
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.94,0.94,0.94,50
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",0.9245283018867925,0.98,0.9514563106796116,50
"dugong, Dugong dugon",0.9347826086956522,0.86,0.8958333333333334,50
sea lion,0.8571428571428571,0.84,0.8484848484848485,50
Chihuahua,0.5625,0.72,0.631578947368421,50
Japanese spaniel,0.9534883720930233,0.82,0.8817204301075269,50
"Maltese dog, Maltese terrier, Maltese",0.7692307692307693,0.8,0.7843137254901961,50
"Pekinese, Pekingese, Peke",0.8461538461538461,0.88,0.8627450980392156,50
Shih-Tzu,0.75,0.78,0.7647058823529411,50
Blenheim spaniel,0.8823529411764706,0.9,0.8910891089108911,50
papillon,0.8070175438596491,0.92,0.8598130841121495,50
toy terrier,0.7941176470588235,0.54,0.6428571428571429,50
Rhodesian ridgeback,0.6363636363636364,0.84,0.7241379310344828,50
"Afghan hound, Afghan",0.9583333333333334,0.92,0.9387755102040817,50
"basset, basset hound",0.7692307692307693,0.8,0.7843137254901961,50
beagle,0.5,0.92,0.647887323943662,50
"bloodhound, sleuthhound",0.9166666666666666,0.44,0.5945945945945945,50
bluetick,0.8823529411764706,0.9,0.8910891089108911,50
black-and-tan coonhound,0.92,0.46,0.6133333333333333,50
"Walker hound, Walker foxhound",0.6595744680851063,0.62,0.6391752577319586,50
English foxhound,0.8823529411764706,0.3,0.44776119402985076,50
redbone,0.7894736842105263,0.6,0.6818181818181819,50
"borzoi, Russian wolfhound",0.875,0.98,0.9245283018867924,50
Irish wolfhound,0.8,0.64,0.7111111111111111,50
Italian greyhound,0.7301587301587301,0.92,0.8141592920353983,50
whippet,0.6964285714285714,0.78,0.7358490566037736,50
"Ibizan hound, Ibizan Podenco",0.9,0.72,0.7999999999999999,50
"Norwegian elkhound, elkhound",0.88,0.88,0.88,50
"otterhound, otter hound",0.9428571428571428,0.66,0.7764705882352942,50
"Saluki, gazelle hound",0.7407407407407407,0.8,0.7692307692307692,50
"Scottish deerhound, deerhound",0.8214285714285714,0.92,0.8679245283018867,50
Weimaraner,0.9215686274509803,0.94,0.9306930693069307,50
