,precision,recall,f1-score,support
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.8,0.88,0.8380952380952381,50
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",0.8518518518518519,0.92,0.8846153846153846,50
"dugong, Dugong dugon",0.8571428571428571,0.84,0.8484848484848485,50
sea lion,0.4444444444444444,0.64,0.5245901639344263,50
Chihuahua,0.5853658536585366,0.48,0.5274725274725274,50
Japanese spaniel,0.9375,0.6,0.7317073170731707,50
"Maltese dog, Maltese terrier, Maltese",0.6862745098039216,0.7,0.693069306930693,50
"Pekinese, Pekingese, Peke",0.7222222222222222,0.52,0.6046511627906976,50
Shih-Tzu,0.8,0.48,0.6,50
Blenheim spaniel,0.8292682926829268,0.68,0.7472527472527474,50
papillon,0.8666666666666667,0.52,0.65,50
toy terrier,0.6052631578947368,0.46,0.5227272727272727,50
Rhodesian ridgeback,0.43333333333333335,0.78,0.5571428571428572,50
"Afghan hound, Afghan",0.6851851851851852,0.74,0.7115384615384615,50
"basset, basset hound",0.5277777777777778,0.76,0.6229508196721312,50
beagle,0.48148148148148145,0.52,0.5,50
"bloodhound, sleuthhound",0.39622641509433965,0.42,0.4077669902912621,50
bluetick,0.7948717948717948,0.62,0.6966292134831461,50
black-and-tan coonhound,0.6285714285714286,0.44,0.5176470588235295,50
"Walker hound, Walker foxhound",0.6363636363636364,0.7,0.6666666666666666,50
English foxhound,0.5833333333333334,0.42,0.4883720930232558,50
redbone,0.6046511627906976,0.52,0.5591397849462365,50
"borzoi, Russian wolfhound",0.7954545454545454,0.7,0.7446808510638298,50
Irish wolfhound,0.6,0.24,0.34285714285714286,50
Italian greyhound,0.34513274336283184,0.78,0.4785276073619631,50
whippet,0.4375,0.7,0.5384615384615384,50
"Ibizan hound, Ibizan Podenco",0.7073170731707317,0.58,0.6373626373626374,50
"Norwegian elkhound, elkhound",0.7674418604651163,0.66,0.7096774193548386,50
"otterhound, otter hound",0.8235294117647058,0.28,0.417910447761194,50
"Saluki, gazelle hound",0.4166666666666667,0.7,0.5223880597014926,50
"Scottish deerhound, deerhound",0.8275862068965517,0.48,0.6075949367088608,50
Weimaraner,0.5866666666666667,0.88,0.704,50
"Staffordshire bullterrier, Staffordshire bull terrier",0.4107142857142857,0.46,0.43396226415094336,50
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.3333333333333333,0.44,0.37931034482758624,50
Bedlington terrier,0.8611111111111112,0.62,0.7209302325581396,50
Border terrier,0.6923076923076923,0.18,0.28571428571428575,50
