,precision,recall,f1-score,support
"ice cream, icecream",0.6818181818181818,0.6,0.6382978723404256,50
"ice lolly, lolly, lollipop, popsicle",0.6721311475409836,0.82,0.7387387387387387,50
French loaf,0.673469387755102,0.66,0.6666666666666666,50
"bagel, beigel",0.8604651162790697,0.74,0.7956989247311828,50
pretzel,0.8478260869565217,0.78,0.8125,50
cheeseburger,0.8148148148148148,0.88,0.8461538461538461,50
"hotdog, hot dog, red hot",0.7321428571428571,0.82,0.7735849056603773,50
mashed potato,0.782608695652174,0.72,0.7499999999999999,50
head cabbage,0.9347826086956522,0.86,0.8958333333333334,50
broccoli,0.8431372549019608,0.86,0.8514851485148515,50
cauliflower,0.8627450980392157,0.88,0.8712871287128714,50
"zucchini, courgette",0.7254901960784313,0.74,0.7326732673267328,50
spaghetti squash,0.8367346938775511,0.82,0.8282828282828283,50
acorn squash,0.7924528301886793,0.84,0.8155339805825242,50
butternut squash,0.76,0.76,0.76,50
"cucumber, cuke",0.6727272727272727,0.74,0.7047619047619048,50
"artichoke, globe artichoke",0.8958333333333334,0.86,0.8775510204081632,50
bell pepper,0.8035714285714286,0.9,0.8490566037735849,50
cardoon,0.8461538461538461,0.88,0.8627450980392156,50
mushroom,0.47619047619047616,0.4,0.43478260869565216,50
Granny Smith,0.9333333333333333,0.84,0.8842105263157894,50
strawberry,0.8611111111111112,0.62,0.7209302325581396,50
orange,0.75,0.78,0.7647058823529411,50
lemon,0.7647058823529411,0.78,0.7722772277227723,50
fig,0.7962962962962963,0.86,0.826923076923077,50
"pineapple, ananas",0.9545454545454546,0.84,0.8936170212765958,50
banana,0.9555555555555556,0.86,0.9052631578947369,50
"jackfruit, jak, jack",0.8888888888888888,0.8,0.8421052631578948,50
custard apple,0.84,0.84,0.8399999999999999,50
pomegranate,0.8541666666666666,0.82,0.836734693877551,50
hay,0.8666666666666667,0.78,0.8210526315789474,50
carbonara,0.86,0.86,0.8599999999999999,50
"chocolate sauce, chocolate syrup",0.5510204081632653,0.54,0.5454545454545455,50
dough,0.5454545454545454,0.36,0.43373493975903615,50
"meat loaf, meatloaf",0.6888888888888889,0.62,0.6526315789473685,50
"pizza, pizza pie",0.8,0.8,0.8000000000000002,50
potpie,0.7631578947368421,0.58,0.6590909090909091,50
burrito,0.7884615384615384,0.82,0.803921568627451,50
red wine,0.6595744680851063,0.62,0.6391752577319586,50
espresso,0.6875,0.66,0.673469387755102,50
cup,0.5675675675675675,0.42,0.4827586206896552,50
eggnog,0.6896551724137931,0.4,0.5063291139240508,50
alp,0.58,0.58,0.58,50
bubble,0.7,0.84,0.7636363636363636,50
"cliff, drop, drop-off",0.4745762711864407,0.56,0.5137614678899083,50
coral reef,0.52,0.78,0.624,50
geyser,0.8909090909090909,0.98,0.9333333333333333,50
"lakeside, lakeshore",0.39344262295081966,0.48,0.43243243243243246,50
"promontory, headland, head, foreland",0.5245901639344263,0.64,0.5765765765765766,50
"sandbar, sand bar",0.6226415094339622,0.66,0.6407766990291262,50
"seashore, coast, seacoast, sea-coast",0.4166666666666667,0.4,0.4081632653061225,50
"valley, vale",0.68,0.68,0.68,50
volcano,0.8367346938775511,0.82,0.8282828282828283,50
"ballplayer, baseball player",0.7857142857142857,0.66,0.717391304347826,50
"groom, bridegroom",0.7560975609756098,0.62,0.6813186813186813,50
scuba diver,0.7843137254901961,0.8,0.792079207920792,50
rapeseed,0.9423076923076923,0.98,0.9607843137254902,50
daisy,0.9056603773584906,0.96,0.9320388349514563,50
"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",0.9615384615384616,1.0,0.9803921568627451,50
corn,0.3877551020408163,0.38,0.3838383838383838,50
acorn,0.8846153846153846,0.92,0.9019607843137256,50
"hip, rose hip, rosehip",0.8727272727272727,0.96,0.9142857142857144,50
"buckeye, horse chestnut, conker",0.86,0.86,0.8599999999999999,50
coral fungus,0.8888888888888888,0.96,0.923076923076923,50
agaric,0.6833333333333333,0.82,0.7454545454545455,50
gyromitra,0.8867924528301887,0.94,0.912621359223301,50
"stinkhorn, carrion fungus",0.7457627118644068,0.88,0.8073394495412843,50
earthstar,0.9074074074074074,0.98,0.9423076923076924,50
"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.8269230769230769,0.86,0.8431372549019608,50
bolete,0.75,0.72,0.7346938775510204,50
"ear, spike, capitulum",0.5319148936170213,0.5,0.5154639175257731,50
"toilet tissue, toilet paper, bathroom tissue",0.6764705882352942,0.46,0.5476190476190477,50
