,precision,recall,f1-score,support
bluetick,0.4,0.04,0.07272727272727272,50
black-and-tan coonhound,0.0,0.0,0.0,50
"Walker hound, Walker foxhound",0.0,0.0,0.0,50
English foxhound,0.75,0.06,0.1111111111111111,50
redbone,0.3333333333333333,0.04,0.07142857142857142,50
"borzoi, Russian wolfhound",0.39285714285714285,0.22,0.28205128205128205,50
Irish wolfhound,0.1386861313868613,0.38,0.2032085561497326,50
Italian greyhound,0.25,0.02,0.037037037037037035,50
whippet,0.0,0.0,0.0,50
"Ibizan hound, Ibizan Podenco",0.3333333333333333,0.08,0.12903225806451613,50
"Norwegian elkhound, elkhound",0.35714285714285715,0.2,0.25641025641025644,50
"otterhound, otter hound",0.25,0.08,0.12121212121212122,50
"Saluki, gazelle hound",0.0,0.0,0.0,50
"Scottish deerhound, deerhound",0.5384615384615384,0.14,0.2222222222222222,50
Weimaraner,1.0,0.04,0.07692307692307693,50
"Staffordshire bullterrier, Staffordshire bull terrier",0.25,0.04,0.06896551724137932,50
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.2,0.02,0.03636363636363636,50
Bedlington terrier,0.25842696629213485,0.46,0.3309352517985612,50
Border terrier,0.08035714285714286,0.18,0.11111111111111112,50
Kerry blue terrier,0.48,0.24,0.32,50
Irish terrier,0.08571428571428572,0.06,0.07058823529411765,50
Norfolk terrier,0.4,0.04,0.07272727272727272,50
Norwich terrier,0.1111111111111111,0.12,0.11538461538461538,50
Yorkshire terrier,0.0,0.0,0.0,50
wire-haired fox terrier,0.056140350877192984,0.32,0.0955223880597015,50
Lakeland terrier,0.0547945205479452,0.24,0.08921933085501858,50
"Sealyham terrier, Sealyham",0.9444444444444444,0.34,0.5,50
"Airedale, Airedale terrier",0.14545454545454545,0.16,0.1523809523809524,50
"cairn, cairn terrier",0.25,0.02,0.037037037037037035,50
Australian terrier,0.0,0.0,0.0,50
"Dandie Dinmont, Dandie Dinmont terrier",0.22105263157894736,0.42,0.2896551724137931,50
"Boston bull, Boston terrier",0.8,0.08,0.14545454545454545,50
miniature schnauzer,0.0,0.0,0.0,50
giant schnauzer,0.08379888268156424,0.3,0.13100436681222705,50
standard schnauzer,0.2727272727272727,0.06,0.09836065573770492,50
"Scotch terrier, Scottish terrier, Scottie",0.5,0.18,0.2647058823529412,50
"Tibetan terrier, chrysanthemum dog",0.0,0.0,0.0,50
"silky terrier, Sydney silky",1.0,0.06,0.11320754716981131,50
soft-coated wheaten terrier,0.0,0.0,0.0,50
West Highland white terrier,0.2345679012345679,0.38,0.2900763358778626,50
"Lhasa, Lhasa apso",0.3684210526315789,0.14,0.20289855072463772,50
flat-coated retriever,0.42105263157894735,0.16,0.2318840579710145,50
