,precision,recall,f1-score,support
sea lion,0.125,0.08,0.09756097560975609,50
Chihuahua,0.06060606060606061,0.04,0.048192771084337345,50
Japanese spaniel,0.7777777777777778,0.14,0.23728813559322035,50
"Maltese dog, Maltese terrier, Maltese",0.3125,0.1,0.15151515151515152,50
"Pekinese, Pekingese, Peke",0.5,0.12,0.1935483870967742,50
Shih-Tzu,0.13333333333333333,0.08,0.1,50
Blenheim spaniel,0.3902439024390244,0.32,0.35164835164835173,50
papillon,0.75,0.24,0.36363636363636365,50
toy terrier,0.3333333333333333,0.06,0.10169491525423728,50
Rhodesian ridgeback,0.23529411764705882,0.16,0.19047619047619052,50
"Afghan hound, Afghan",0.1,0.02,0.03333333333333333,50
"basset, basset hound",0.27586206896551724,0.16,0.20253164556962025,50
beagle,0.2564102564102564,0.2,0.2247191011235955,50
"bloodhound, sleuthhound",0.13333333333333333,0.08,0.1,50
bluetick,0.0670391061452514,0.24,0.10480349344978165,50
black-and-tan coonhound,0.46153846153846156,0.12,0.19047619047619047,50
"Walker hound, Walker foxhound",0.125,0.08,0.09756097560975609,50
English foxhound,0.1774193548387097,0.22,0.1964285714285714,50
redbone,0.21428571428571427,0.12,0.15384615384615383,50
"borzoi, Russian wolfhound",0.5,0.1,0.16666666666666669,50
Irish wolfhound,0.08333333333333333,0.02,0.03225806451612903,50
Italian greyhound,0.13414634146341464,0.22,0.16666666666666669,50
whippet,0.04225352112676056,0.06,0.049586776859504134,50
"Ibizan hound, Ibizan Podenco",0.11538461538461539,0.12,0.11764705882352941,50
"Norwegian elkhound, elkhound",0.2564102564102564,0.2,0.2247191011235955,50
"otterhound, otter hound",0.3333333333333333,0.02,0.03773584905660377,50
"Saluki, gazelle hound",0.16666666666666666,0.04,0.06451612903225806,50
"Scottish deerhound, deerhound",0.25,0.06,0.0967741935483871,50
Weimaraner,0.3548387096774194,0.22,0.2716049382716049,50
"Staffordshire bullterrier, Staffordshire bull terrier",0.375,0.06,0.10344827586206896,50
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.21428571428571427,0.06,0.09375,50
Bedlington terrier,0.08522727272727272,0.3,0.13274336283185842,50
Border terrier,0.1346153846153846,0.14,0.13725490196078433,50
Kerry blue terrier,0.09130434782608696,0.42,0.15,50
Irish terrier,0.061068702290076333,0.16,0.08839779005524863,50
Norfolk terrier,0.0,0.0,0.0,50
Norwich terrier,0.17391304347826086,0.16,0.16666666666666666,50
Yorkshire terrier,0.0,0.0,0.0,50
wire-haired fox terrier,0.037037037037037035,0.1,0.05405405405405406,50
Lakeland terrier,0.11594202898550725,0.16,0.13445378151260504,50
"Sealyham terrier, Sealyham",0.4375,0.14,0.21212121212121213,50
"Airedale, Airedale terrier",0.05825242718446602,0.36,0.10027855153203344,50
"cairn, cairn terrier",0.0,0.0,0.0,50
Australian terrier,0.4,0.04,0.07272727272727272,50
"Dandie Dinmont, Dandie Dinmont terrier",0.22727272727272727,0.1,0.1388888888888889,50
"Boston bull, Boston terrier",0.15315315315315314,0.34,0.2111801242236025,50
miniature schnauzer,0.3181818181818182,0.14,0.19444444444444445,50
giant schnauzer,0.01818181818181818,0.02,0.01904761904761905,50
standard schnauzer,0.1875,0.06,0.09090909090909091,50
"Scotch terrier, Scottish terrier, Scottie",0.28,0.14,0.18666666666666668,50
"Tibetan terrier, chrysanthemum dog",1.0,0.02,0.0392156862745098,50
"silky terrier, Sydney silky",0.46153846153846156,0.12,0.19047619047619047,50
soft-coated wheaten terrier,0.07407407407407407,0.04,0.051948051948051945,50
West Highland white terrier,0.3448275862068966,0.2,0.2531645569620254,50
"Lhasa, Lhasa apso",1.0,0.04,0.07692307692307693,50
flat-coated retriever,0.2857142857142857,0.08,0.125,50
curly-coated retriever,0.19444444444444445,0.14,0.16279069767441862,50
golden retriever,0.36363636363636365,0.08,0.13114754098360654,50
Labrador retriever,0.4375,0.14,0.21212121212121213,50
Chesapeake Bay retriever,0.4117647058823529,0.14,0.208955223880597,50
German short-haired pointer,0.21428571428571427,0.18,0.1956521739130435,50
"vizsla, Hungarian pointer",0.4,0.2,0.26666666666666666,50
English setter,0.23529411764705882,0.08,0.11940298507462688,50
"Irish setter, red setter",0.45454545454545453,0.2,0.2777777777777778,50
Gordon setter,0.17543859649122806,0.2,0.18691588785046728,50
Brittany spaniel,0.2222222222222222,0.08,0.11764705882352941,50
"clumber, clumber spaniel",0.3181818181818182,0.42,0.3620689655172414,50
"English springer, English springer spaniel",0.2641509433962264,0.28,0.27184466019417475,50
Welsh springer spaniel,0.2235294117647059,0.38,0.2814814814814815,50
"cocker spaniel, English cocker spaniel, cocker",0.125,0.06,0.08108108108108109,50
Sussex spaniel,0.4166666666666667,0.1,0.16129032258064516,50
Irish water spaniel,0.12962962962962962,0.14,0.1346153846153846,50
kuvasz,0.22727272727272727,0.1,0.1388888888888889,50
schipperke,0.18181818181818182,0.08,0.1111111111111111,50
groenendael,0.34782608695652173,0.16,0.2191780821917808,50
malinois,0.4166666666666667,0.2,0.2702702702702703,50
briard,0.0,0.0,0.0,50
kelpie,0.36363636363636365,0.08,0.13114754098360654,50
komondor,0.25,0.2,0.22222222222222224,50
"Old English sheepdog, bobtail",0.2777777777777778,0.1,0.14705882352941177,50
"Shetland sheepdog, Shetland sheep dog, Shetland",0.2857142857142857,0.04,0.07017543859649124,50
collie,0.36363636363636365,0.08,0.13114754098360654,50
Border collie,0.3333333333333333,0.14,0.1971830985915493,50
"Bouvier des Flandres, Bouviers des Flandres",0.0,0.0,0.0,50
Rottweiler,0.13333333333333333,0.16,0.14545454545454545,50
"German shepherd, German shepherd dog, German police dog, alsatian",0.22580645161290322,0.14,0.1728395061728395,50
"Doberman, Doberman pinscher",0.2727272727272727,0.06,0.09836065573770492,50
miniature pinscher,0.14285714285714285,0.16,0.15094339622641512,50
Greater Swiss Mountain dog,0.28125,0.18,0.21951219512195122,50
Bernese mountain dog,0.5454545454545454,0.24,0.3333333333333333,50
Appenzeller,0.2,0.14,0.1647058823529412,50
EntleBucher,0.18487394957983194,0.44,0.26035502958579887,50
boxer,0.1388888888888889,0.1,0.11627906976744186,50
bull mastiff,0.2692307692307692,0.14,0.18421052631578946,50
Tibetan mastiff,0.5,0.12,0.1935483870967742,50
French bulldog,0.1,0.04,0.05714285714285714,50
Great Dane,0.0,0.0,0.0,50
"Saint Bernard, St Bernard",0.21818181818181817,0.24,0.2285714285714286,50
"Eskimo dog, husky",0.1875,0.12,0.14634146341463414,50
"malamute, malemute, Alaskan malamute",0.35,0.14,0.2,50
Siberian husky,0.2702702702702703,0.2,0.22988505747126436,50
"dalmatian, coach dog, carriage dog",0.10476190476190476,0.44,0.16923076923076924,50
"affenpinscher, monkey pinscher, monkey dog",0.0,0.0,0.0,50
basenji,0.16981132075471697,0.36,0.23076923076923075,50
"pug, pug-dog",0.09202453987730061,0.3,0.14084507042253522,50
Leonberg,0.6190476190476191,0.26,0.36619718309859156,50
"Newfoundland, Newfoundland dog",0.23529411764705882,0.08,0.11940298507462688,50
Great Pyrenees,0.4444444444444444,0.08,0.13559322033898308,50
"Samoyed, Samoyede",0.42857142857142855,0.18,0.2535211267605634,50
Pomeranian,0.6363636363636364,0.14,0.22950819672131148,50
"chow, chow chow",0.4230769230769231,0.22,0.28947368421052627,50
keeshond,0.5,0.14,0.21875000000000003,50
Brabancon griffon,0.26666666666666666,0.08,0.12307692307692307,50
"Pembroke, Pembroke Welsh corgi",0.4444444444444444,0.08,0.13559322033898308,50
"Cardigan, Cardigan Welsh corgi",0.22580645161290322,0.14,0.1728395061728395,50
toy poodle,0.04,0.04,0.04,50
miniature poodle,0.06862745098039216,0.14,0.09210526315789475,50
standard poodle,0.036231884057971016,0.1,0.053191489361702135,50
Mexican hairless,0.2727272727272727,0.18,0.21686746987951808,50
"timber wolf, grey wolf, gray wolf, Canis lupus",0.375,0.18,0.24324324324324328,50
"white wolf, Arctic wolf, Canis lupus tundrarum",0.4166666666666667,0.2,0.2702702702702703,50
"red wolf, maned wolf, Canis rufus, Canis niger",0.42857142857142855,0.06,0.10526315789473684,50
"coyote, prairie wolf, brush wolf, Canis latrans",0.13793103448275862,0.16,0.14814814814814817,50
"dingo, warrigal, warragal, Canis dingo",0.18181818181818182,0.12,0.14457831325301204,50
"dhole, Cuon alpinus",0.23728813559322035,0.28,0.25688073394495414,50
